route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
AK-01,DLLAJ,AK-01,AK-01,,3,,00FF00,000000
AK-02,DLLAJ,AK-02,AK-02,,3,,00FF00,000000
AK-03,DLLAJ,AK-03,AK-03,,3,,00FF00,000000
AK-04,DLLAJ,AK-04,AK-04,,3,,00FF00,000000
AK-05,DLLAJ,AK-05,AK-05,,3,,00FF00,000000
AK-06,DLLAJ,AK-06,AK-06,,3,,00FF00,000000
AK-07,DLLAJ,AK-07,AK-07,,3,,00FF00,000000
AK-07A,DLLAJ,AK-07A,AK-07A,,3,,00FF00,000000
AK-08,DLLAJ,AK-08,AK-08,,3,,00FF00,000000
AK-09,DLLAJ,AK-09,AK-09,,3,,00FF00,000000
AK-10,DLLAJ,AK-10,AK-10,,3,,00FF00,000000
AK-11,DLLAJ,AK-11,AK-11,,3,,00FF00,000000
AK-12,DLLAJ,AK-12,AK-12,,3,,00FF00,000000
AK-13,DLLAJ,AK-13,AK-13,,3,,00FF00,000000
AK-14,DLLAJ,AK-14,AK-14,,3,,00FF00,000000
AK-15,DLLAJ,AK-15,AK-15,,3,,00FF00,000000
AK-16,DLLAJ,AK-16,AK-16,,3,,00FF00,000000
AK-17,DLLAJ,AK-17,AK-17,,3,,00FF00,000000
AK-18,DLLAJ,AK-18,AK-18,,3,,00FF00,000000
AK-19,DLLAJ,AK-19,AK-19,,3,,00FF00,000000
AK-20,DLLAJ,AK-20,AK-20,,3,,00FF00,000000
AK-21,DLLAJ,AK-21,AK-21,,3,,00FF00,000000
AK-22,DLLAJ,AK-22,AK-22,,3,,00FF00,000000
AK-23,DLLAJ,AK-23,AK-23,,3,,00FF00,000000
